ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
46	116.55305550400156	116.55166760693255	116.55232959123241	116.55309113402463
47	116.55292827615695	116.55166568056177	116.55231446640596	116.55300795301808
48	116.55292071602742	116.55165162837385	116.55231883134468	116.55305486443729
49	116.55304806033075	116.55166269423175	116.55233295777737	116.55308378766591
50	116.55303733525695	116.55169636377491	116.55234734749821	116.55305964722133
51	116.55299235504067	116.55172523056291	116.55236756149198	116.5530439041728
52	116.55296438525377	116.55176301668969	116.55238497107948	116.5530779256147
53	116.55279372427036	116.55177503965886	116.55235768639378	116.55296779621675
54	116.55282555846942	116.55181961805317	116.55235520948442	116.55300589683017
55	116.55290666135656	116.55182095881938	116.55234956117532	116.55301148741023
56	116.55295134442082	116.55183166511256	116.5523541967069	116.55299214533532
57	116.55295900855984	116.5518288690186	116.55235869565247	116.55299406186533
58	116.55287624154467	116.55184639250524	116.55235009690043	116.55297041280524
59	116.55294481945275	116.5518001621081	116.55236219051982	116.55304769506498
60	116.55278661199596	116.55179869822973	116.5523299094881	116.5529267888976
61	116.55283540081463	116.55182274143932	116.55234713703844	116.55298742251667
62	116.5529081594124	116.5518487082364	116.55235194172668	116.55297655628637
63	116.55276179426836	116.5518367213997	116.55232110100164	116.55286755394059
64	116.55286592668942	116.55181704428999	116.55234442063076	116.55298806869565
65	116.55285288367696	116.55182738390195	116.55233835162981	116.55292693012868
66	116.55282392860317	116.5518372460762	116.5523362087705	116.55288694255046
67	116.55285555631126	116.55186857770185	116.55235050868204	116.55294612795383
68	116.55286380708763	116.55187620671144	116.55234851940105	116.5529075048355
69	116.55271959684218	116.55188276935516	116.5523380145653	116.55284801933497
70	116.55286821264735	116.551900768103	116.5523665289081	116.55297826992974
71	116.55283418554781	116.55192912589159	116.55236772641811	116.55293018703331
72	116.5527783346917	116.55191479557502	116.55236504245255	116.5529325152755
73	116.55290784956689	116.55192498095514	116.55238385458588	116.55298875398388
74	116.552865755457	116.55192802784546	116.55237166039831	116.55295271177758
75	116.55285980628311	116.55192886793184	116.55236951226571	116.55295024040667
76	116.55288855351372	116.55192533406459	116.55237131218904	116.55293508611274
77	116.55279730723228	116.55185296952425	116.55235456714969	116.55291294065218
78	116.55288017878541	116.55185424980286	116.55237006945585	116.55299251856098
79	116.55281305148407	116.55188479907801	116.55235703546234	116.55291758765242
80	116.55291309134833	116.55185740733026	116.55237833713774	116.55311993280313
81	116.55288459700793	116.55188937084587	116.55236251941656	116.55300261846072
82	116.55290992194361	116.55192351377029	116.55237433981385	116.55302646462356
83	116.55302282110618	116.55197247717719	116.5524062802574	116.55308786374815
84	116.55290495895865	116.55200945757446	116.5523936477929	116.55298752561539
85	116.5528003477911	116.55200708642408	116.55238062798193	116.5529570233528
86	116.55291740865519	116.5520156033536	116.5524011367181	116.55302556621922
87	116.55284423621251	116.55197149475696	116.5523873743366	116.55297821358485
88	116.55287094476392	116.55194650728383	116.55239601337384	116.55305295306184
89	116.55293651241317	116.55197741708933	116.55239682634014	116.5530577317163
90	116.55258265322841	116.55193145227089	116.55232328179703	116.55288122984827
91	116.55287906269264	116.55193540718581	116.55234386374934	116.55302874436012
92	116.55290156560768	116.55194478847403	116.55233696977133	116.55297064930004
93	116.55278785032071	116.55196218794752	116.55232744245804	116.55293202449157
94	116.55280357886491	116.55196491409609	116.5523253430726	116.55291127215322
95	116.5528878349004	116.55195752012216	116.55233952552915	116.55292245079133
96	116.5529855053065	116.55198084101455	116.55237714991881	116.55307669649004
97	116.5529623434695	116.55197611246291	116.55238757918647	116.55310847263225
98	116.55298979208011	116.55198067889329	116.55238976171267	116.55314168120071
99	116.55289175253972	116.5519860215021	116.55235974558595	116.55295575820554
100	116.55294604033263	116.55197817668959	116.55237674924457	116.55302993777237
