ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	116.55222691503263	116.55222691503263	116.55222691503263	116.55222691503263
1	116.55230720375282	116.55224301262524	116.55230837795429	116.5523737432833
2	116.55239978726259	116.5521539647499	116.55231606201457	116.5524780991207
3	116.55241413002047	116.55211921677366	116.55232236085706	116.55250072176375
4	116.55242592413566	116.55203961922244	116.55227507538082	116.552482669463
5	116.55257382977669	116.55205931376177	116.55233878866066	116.55259217024776
6	116.55257250368713	116.55201374047769	116.55237631252844	116.55270698523158
7	116.55264652459319	116.55195908360102	116.55238610161982	116.55278536615108
8	116.55271630639703	116.55187868976338	116.55235154277673	116.55280816499359
9	116.55277146586066	116.55187176797654	116.55237146653438	116.55284180824239
10	116.55263730963206	116.55178559149275	116.55227662208627	116.55273127371416
11	116.55283804018373	116.55186820106411	116.55237155712146	116.5528658208494
12	116.55283914221674	116.55184464844179	116.55237447657487	116.55289959927755
13	116.55276638188343	116.55177714266381	116.55233026960083	116.55287358081132
14	116.55270668609407	116.5517720311532	116.55228158107707	116.55274268126001
15	116.55292373279667	116.5517929004749	116.55240584633084	116.55297462789702
16	116.55287907159017	116.55177236352425	116.55238248730606	116.55295086045417
17	116.55269175340024	116.55164221428424	116.55229573762894	116.55287392854405
18	116.55275157484971	116.55164716235898	116.55226551369952	116.55279686419898
19	116.55293501177096	116.55169488974593	116.55237900229245	116.55302093529322
20	116.55289248680974	116.5516708913879	116.55234955149032	116.55294361252233
21	116.55289685828632	116.55168436005074	116.55237514180362	116.55296999208757
22	116.55293877386603	116.55169004173825	116.55236875861482	116.55297884354056
23	116.5528343445305	116.55167507291944	116.55233856212647	116.55295075347162
24	116.55299253987484	116.55167775246207	116.55237815849743	116.55303267677607
25	116.5528278027947	116.55165434334384	116.55232138357883	116.55293398638402
26	116.55289982404545	116.5516573164409	116.55234858998972	116.55298279911284
27	116.55292275483204	116.55166801195634	116.5523551830305	116.55301612420142
28	116.55277579629339	116.55165652274533	116.55228984987237	116.55289348051059
29	116.55288887395362	116.55165660193178	116.55232427722486	116.55296637967285
30	116.55288734877733	116.55163689803554	116.55229973623001	116.55291304367219
31	116.55285315287101	116.55164281965342	116.5523135559927	116.55297606544774
32	116.55280946656987	116.55160600840871	116.55228285679158	116.5529197938568
33	116.55283700347798	116.55166848128397	116.55231167171127	116.55295600859698
34	116.55286260807361	116.55169949693084	116.55231445305921	116.55296500435415
35	116.55280388025163	116.55165183148243	116.5522756043587	116.55291220987444
36	116.55285289478623	116.55160904979658	116.5522868874859	116.55297379348207
37	116.55278651239462	116.55159170432593	116.55224123936581	116.55288713131536
38	116.55279485728964	116.55156862654613	116.55225860191759	116.55298324533625
39	116.55296999163524	116.55158736323999	116.55227036984185	116.55304035623908
40	116.55289797909155	116.55158736323999	116.5522708807894	116.55299221304568
41	116.55295776091307	116.55160617717759	116.55227742014051	116.55302363286432
42	116.55313040311225	116.55161968974006	116.55232622344393	116.5531702422377
43	116.55296065484347	116.55167190242662	116.55231713433096	116.55304303758666
44	116.55302555345652	116.55167296442934	116.55232812187191	116.55307524481955
45	116.5529867250079	116.55166760693255	116.55231806409951	116.55306529400855
