ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	5090.054855959251	5090.054855959251	
1	5090.027351214689	5090.027351214689	
2	5090.467972126029	5090.467972126029	
3	5089.671806180316	5089.671806180316	
4	5089.586358014794	5089.586358014794	
5	5089.554681694202	5089.554681694202	
6	5089.21706060814	5089.21706060814	
7	5089.1789407792285	5089.1789407792285	
8	5088.8752679460495	5088.8752679460495	
9	5089.218960251878	5089.218960251878	
10	5088.722295563316	5088.722295563316	
11	5088.964887687602	5088.964887687602	
12	5089.097664189735	5089.097664189735	
13	5089.097664189734	5089.097664189734	
14	5088.89736347039	5088.89736347039	
15	5089.504709136748	5089.504709136748	
16	5089.534113525047	5089.534113525047	
17	5089.230440691868	5089.230440691868	
18	5089.097664189734	5089.097664189734	
19	5089.401337022914	5089.401337022914	
20	5089.619561690571	5089.619561690571	
21	5089.030139972524	5089.030139972524	
22	5088.998463651931	5088.998463651931	
23	5089.149164102376	5089.149164102376	
24	5089.33798438173	5089.33798438173	
25	5089.288384112829	5089.288384112829	
26	5089.0637159368525	5089.0637159368525	
27	5089.045791988542	5089.045791988542	
28	5088.7600431036735	5088.7600431036735	
29	5089.385312718341	5089.385312718341	
30	5089.113316205755	5089.113316205755	
31	5089.045791988542	5089.045791988542	
32	5088.948863383029	5088.948863383029	
33	5089.167088050685	5089.167088050685	
34	5089.095392257444	5089.095392257444	
35	5088.863415217506	5088.863415217506	
36	5089.153335678405	5089.153335678405	
37	5089.185011998996	5089.185011998996	
38	5089.117487781784	5089.117487781784	
39	5089.288384112829	5089.288384112829	
40	5089.135411730093	5089.135411730093	
41	5089.180840422967	5089.180840422967	
42	5089.306308061139	5089.306308061139	
43	5089.288384112829	5089.288384112829	
44	5089.099563833473	5089.099563833473	
45	5089.288384112829	5089.288384112829	
46	5089.324232009449	5089.324232009449	
47	5089.202935947306	5089.202935947306	
48	5089.445528071593	5089.445528071593	
49	5089.270460164518	5089.270460164518	
50	5089.185011998995	5089.185011998995	
51	5089.220859895617	5089.220859895617	
52	5089.1670880506845	5089.1670880506845	
53	5089.0953922574445	5089.0953922574445	
54	5088.813814948606	5088.813814948606	
55	5089.202935947305	5089.202935947305	
56	5089.256707792237	5089.256707792237	
57	5089.185011998996	5089.185011998996	
58	5089.202935947306	5089.202935947306	
59	5089.238783843927	5089.238783843927	
60	5089.324232009449	5089.324232009449	
61	5088.849662845225	5088.849662845225	
62	5089.153335678404	5089.153335678404	
63	5089.274631740547	5089.274631740547	
64	5089.306308061139	5089.306308061139	
65	5089.0995638334725	5089.0995638334725	
66	5089.220859895616	5089.220859895616	
67	5089.00680680399	5089.00680680399	
68	5089.30630806114	5089.30630806114	
69	5089.175431202743	5089.175431202743	
70	5088.935111010748	5088.935111010748	
71	5088.921358638468	5088.921358638468	
72	5089.1354117300925	5089.1354117300925	
73	5089.310479637168	5089.310479637168	
74	5089.153335678403	5089.153335678403	
75	5088.853834421255	5088.853834421255	
76	5089.324232009449	5089.324232009449	
77	5089.306308061139	5089.306308061139	
78	5089.328403585478	5089.328403585478	
79	5088.795891000294	5088.795891000294	
80	5089.171259626714	5089.171259626714	
81	5088.953034959059	5088.953034959059	
82	5089.202935947305	5089.202935947305	
83	5089.256707792238	5089.256707792238	
84	5088.849662845225	5088.849662845225	
85	5088.813814948605	5088.813814948605	
86	5089.157507254433	5089.157507254433	
87	5089.088083393483	5089.088083393483	
88	5089.256707792237	5089.256707792237	
89	5089.34215595776	5089.34215595776	
90	5089.202935947306	5089.202935947306	
91	5089.481375968213	5089.481375968213	
92	5089.3600799060705	5089.3600799060705	
93	5089.225031471646	5089.225031471646	
94	5089.439084563272	5089.439084563272	
95	5089.820896698013	5089.820896698013	
96	5089.474932459893	5089.474932459893	
97	5089.171259626714	5089.171259626714	
98	5089.481375968214	5089.481375968214	
99	5089.395927802691	5089.395927802691	
100	5089.378003854381	5089.378003854381	
