Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
76	00:19:13	00:19:13	00:19:13	00:19:13	00:19:13	00:19:13			00:19:13	00:19:13	00:19:13	00:19:13	00:19:14	00:19:14	00:19:14	00:19:14	00:19:14	00:19:14			00:19:16	00:19:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
77	00:19:16	00:19:16	00:19:16	00:19:16	00:19:16	00:19:16			00:19:16	00:19:16	00:19:16	00:19:16	00:19:18	00:19:18	00:19:18	00:19:18	00:19:18	00:19:18			00:19:19	00:19:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
78	00:19:19	00:19:19	00:19:19	00:19:19	00:19:19	00:19:19			00:19:19	00:19:19	00:19:19	00:19:19	00:19:21	00:19:21	00:19:21	00:19:21	00:19:21	00:19:21			00:19:22	00:19:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
79	00:19:22	00:19:22	00:19:22	00:19:22	00:19:22	00:19:22			00:19:22	00:19:22	00:19:22	00:19:22	00:19:24	00:19:24	00:19:24	00:19:24	00:19:24	00:19:24			00:19:26	00:19:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
80	00:19:26	00:19:26	00:19:26	00:19:26	00:19:26	00:19:26			00:19:26	00:19:26	00:19:26	00:19:26	00:19:27	00:19:27	00:19:27	00:19:27	00:19:27	00:19:27	00:19:27	00:19:27	00:19:28	00:19:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:02
81	00:19:29	00:19:29	00:19:29	00:19:29	00:19:29	00:19:29			00:19:29	00:19:29	00:19:29	00:19:29	00:19:30	00:19:30	00:19:30	00:19:30	00:19:30	00:19:30			00:19:33	00:19:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:02	00:00:04
82	00:19:33	00:19:33	00:19:33	00:19:33	00:19:33	00:19:33			00:19:33	00:19:33	00:19:33	00:19:33	00:19:34	00:19:34	00:19:34	00:19:34	00:19:34	00:19:34			00:19:36	00:19:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
83	00:19:36	00:19:36	00:19:36	00:19:36	00:19:36	00:19:36			00:19:36	00:19:36	00:19:36	00:19:36	00:19:37	00:19:37	00:19:37	00:19:37	00:19:37	00:19:37			00:19:38	00:19:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
84	00:19:38	00:19:38	00:19:38	00:19:38	00:19:38	00:19:38			00:19:38	00:19:38	00:19:38	00:19:38	00:19:40	00:19:40	00:19:40	00:19:40	00:19:40	00:19:40			00:19:42	00:19:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
85	00:19:42	00:19:42	00:19:42	00:19:42	00:19:42	00:19:42			00:19:42	00:19:42	00:19:42	00:19:42	00:19:44	00:19:44	00:19:44	00:19:44	00:19:44	00:19:44			00:19:45	00:19:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
86	00:19:46	00:19:46	00:19:46	00:19:46	00:19:46	00:19:46			00:19:46	00:19:46	00:19:46	00:19:46	00:19:47	00:19:47	00:19:47	00:19:47	00:19:47	00:19:47			00:19:48	00:19:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
87	00:19:48	00:19:48	00:19:48	00:19:48	00:19:48	00:19:48			00:19:48	00:19:48	00:19:48	00:19:48	00:19:50	00:19:50	00:19:50	00:19:50	00:19:50	00:19:50			00:19:51	00:19:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
88	00:19:51	00:19:51	00:19:51	00:19:51	00:19:51	00:19:51			00:19:51	00:19:51	00:19:51	00:19:51	00:19:53	00:19:53	00:19:53	00:19:53	00:19:53	00:19:53			00:19:54	00:19:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
89	00:19:54	00:19:54	00:19:54	00:19:54	00:19:54	00:19:54			00:19:54	00:19:54	00:19:54	00:19:54	00:19:56	00:19:56	00:19:56	00:19:56	00:19:56	00:19:56			00:19:57	00:19:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
90	00:19:57	00:19:57	00:19:57	00:19:57	00:19:57	00:19:57			00:19:57	00:19:57	00:19:57	00:19:57	00:19:59	00:19:59	00:19:59	00:19:59	00:19:59	00:19:59	00:19:59	00:19:59	00:19:59	00:19:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
91	00:20:00	00:20:00	00:20:00	00:20:00	00:20:00	00:20:00			00:20:00	00:20:00	00:20:00	00:20:00	00:20:01	00:20:01	00:20:01	00:20:01	00:20:01	00:20:01			00:20:03	00:20:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
92	00:20:03	00:20:03	00:20:03	00:20:03	00:20:03	00:20:03			00:20:03	00:20:03	00:20:03	00:20:03	00:20:05	00:20:05	00:20:05	00:20:05	00:20:05	00:20:05			00:20:06	00:20:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
93	00:20:06	00:20:06	00:20:06	00:20:06	00:20:06	00:20:06			00:20:06	00:20:06	00:20:06	00:20:06	00:20:08	00:20:08	00:20:08	00:20:08	00:20:08	00:20:08			00:20:10	00:20:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
94	00:20:10	00:20:10	00:20:10	00:20:10	00:20:10	00:20:10			00:20:10	00:20:10	00:20:10	00:20:10	00:20:11	00:20:11	00:20:11	00:20:11	00:20:11	00:20:11			00:20:13	00:20:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
95	00:20:13	00:20:13	00:20:13	00:20:13	00:20:13	00:20:13			00:20:13	00:20:13	00:20:13	00:20:13	00:20:15	00:20:15	00:20:15	00:20:15	00:20:15	00:20:15			00:20:15	00:20:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
96	00:20:16	00:20:16	00:20:16	00:20:16	00:20:16	00:20:16			00:20:16	00:20:16	00:20:16	00:20:16	00:20:17	00:20:17	00:20:17	00:20:17	00:20:17	00:20:17			00:20:18	00:20:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
97	00:20:18	00:20:18	00:20:18	00:20:18	00:20:18	00:20:18			00:20:18	00:20:18	00:20:18	00:20:18	00:20:20	00:20:20	00:20:20	00:20:20	00:20:20	00:20:20			00:20:21	00:20:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
98	00:20:21	00:20:21	00:20:21	00:20:21	00:20:21	00:20:21			00:20:21	00:20:21	00:20:21	00:20:21	00:20:23	00:20:23	00:20:23	00:20:23	00:20:23	00:20:23			00:20:24	00:20:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
99	00:20:24	00:20:24	00:20:24	00:20:24	00:20:24	00:20:24			00:20:24	00:20:24	00:20:24	00:20:24	00:20:26	00:20:26	00:20:26	00:20:26	00:20:26	00:20:26			00:20:27	00:20:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
100	00:20:27	00:20:27	00:20:27	00:20:27	00:20:27	00:20:27	00:20:27	00:20:27	00:20:27	00:20:27	00:20:27	00:20:27	00:20:29	00:20:29	00:20:29	00:20:29	00:20:29	00:20:29	00:20:29	00:20:29	00:20:30	00:20:30		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
