Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
17	00:15:30	00:15:30	00:15:30	00:15:30	00:15:30	00:15:30			00:15:30	00:15:30	00:15:30	00:15:30	00:15:32	00:15:32	00:15:32	00:15:32	00:15:32	00:15:32			00:15:33	00:15:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
18	00:15:33	00:15:33	00:15:33	00:15:33	00:15:33	00:15:33			00:15:33	00:15:33	00:15:33	00:15:33	00:15:35	00:15:35	00:15:35	00:15:35	00:15:35	00:15:35			00:15:35	00:15:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
19	00:15:35	00:15:35	00:15:35	00:15:35	00:15:35	00:15:35			00:15:35	00:15:35	00:15:35	00:15:35	00:15:38	00:15:38	00:15:38	00:15:38	00:15:38	00:15:38			00:15:38	00:15:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
20	00:15:38	00:15:38	00:15:38	00:15:38	00:15:38	00:15:38			00:15:38	00:15:38	00:15:38	00:15:38	00:15:40	00:15:40	00:15:41	00:15:41	00:15:41	00:15:41	00:15:41	00:15:42	00:15:43	00:15:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:01	00:00:02	00:00:04
21	00:15:43	00:15:43	00:15:43	00:15:43	00:15:43	00:15:43			00:15:43	00:15:43	00:15:43	00:15:43	00:15:45	00:15:45	00:15:47	00:15:47	00:15:47	00:15:47			00:15:51	00:15:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:01	00:00:00		00:00:04	00:00:07
22	00:15:58	00:15:58	00:15:58	00:15:58	00:15:58	00:15:58			00:15:58	00:15:58	00:15:58	00:15:58	00:16:00	00:16:00	00:16:00	00:16:00	00:16:00	00:16:00			00:16:03	00:16:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:02	00:00:05
23	00:16:03	00:16:03	00:16:03	00:16:03	00:16:03	00:16:03			00:16:03	00:16:03	00:16:03	00:16:03	00:16:05	00:16:05	00:16:05	00:16:05	00:16:05	00:16:05			00:16:07	00:16:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:02	00:00:04
24	00:16:07	00:16:07	00:16:07	00:16:07	00:16:07	00:16:07			00:16:07	00:16:07	00:16:07	00:16:07	00:16:10	00:16:10	00:16:10	00:16:10	00:16:10	00:16:10			00:16:13	00:16:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:03	00:00:05
25	00:16:14	00:16:14	00:16:14	00:16:14	00:16:14	00:16:14			00:16:14	00:16:14	00:16:14	00:16:14	00:16:16	00:16:16	00:16:16	00:16:16	00:16:16	00:16:16			00:16:19	00:16:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:02	00:00:05
26	00:16:19	00:16:19	00:16:19	00:16:19	00:16:19	00:16:19			00:16:19	00:16:19	00:16:19	00:16:19	00:16:21	00:16:21	00:16:21	00:16:21	00:16:21	00:16:21			00:16:23	00:16:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:02	00:00:04
